c,k,9,10,11,12,13,14,15,16,17
12,3,,,,0.0,16.0,47.0,108.0,236.0,500.0
12,4,,,,0.0,17.0,50.0,115.0,244.0,516.0
12,5,,,,0.0,18.0,53.0,122.0,259.0,532.0
12,6,,,,0.0,19.0,56.0,129.0,274.0,563.0
12,7,,,,0.0,20.0,59.0,136.0,289.0,594.0
12,8,,,,0.0,21.0,62.0,143.0,304.0,625.0
12,9,,,,0.0,22.0,65.0,150.0,319.0,656.0
12,10,,,,0.0,23.0,68.0,157.0,334.0,687.0
12,11,,,,0.0,24.0,71.0,164.0,349.0,718.0
12,12,,,,,25.0,74.0,171.0,364.0,749.0
12,13,,,,,,77.0,178.0,379.0,780.0
12,14,,,,,,,185.0,394.0,811.0
12,15,,,,,,,,409.0,842.0
12,16,,,,,,,,,873.0
13,0,,,,,0.0,14.0,43.0,103.0,227.0
13,1,,,,,0.0,15.0,45.0,107.0,235.0
13,2,,,,,0.0,16.0,47.0,111.0,243.0
13,3,,,,,0.0,17.0,50.0,115.0,251.0
13,4,,,,,0.0,18.0,53.0,122.0,259.0
13,5,,,,,0.0,19.0,56.0,129.0,274.0
13,6,,,,,0.0,20.0,59.0,136.0,289.0
13,7,,,,,0.0,21.0,62.0,143.0,304.0
13,8,,,,,0.0,22.0,65.0,150.0,319.0
13,9,,,,,0.0,23.0,68.0,157.0,334.0
13,10,,,,,0.0,24.0,71.0,164.0,349.0
13,11,,,,,0.0,25.0,74.0,171.0,364.0
13,12,,,,,0.0,26.0,77.0,178.0,379.0
13,13,,,,,,27.0,80.0,185.0,394.0
13,14,,,,,,,83.0,192.0,409.0
13,15,,,,,,,,199.0,424.0
13,16,,,,,,,,,439.0
14,0,,,,,,0.0,15.0,46.0,110.0
14,1,,,,,,0.0,16.0,48.0,114.0
14,2,,,,,,0.0,17.0,50.0,118.0
14,3,,,,,,0.0,18.0,53.0,122.0
14,4,,,,,,0.0,19.0,56.0,129.0
14,5,,,,,,0.0,20.0,59.0,136.0
14,6,,,,,,0.0,21.0,62.0,143.0
14,7,,,,,,0.0,22.0,65.0,150.0
14,8,,,,,,0.0,23.0,68.0,157.0
14,9,,,,,,0.0,24.0,71.0,164.0
14,10,,,,,,0.0,25.0,74.0,171.0
14,11,,,,,,0.0,26.0,77.0,178.0
14,12,,,,,,0.0,27.0,80.0,185.0
14,13,,,,,,0.0,28.0,83.0,192.0
14,14,,,,,,,29.0,86.0,199.0
14,15,,,,,,,,89.0,206.0
14,16,,,,,,,,,213.0
15,0,,,,,,,0.0,16.0,49.0
15,1,,,,,,,0.0,17.0,51.0
15,2,,,,,,,0.0,18.0,53.0
15,3,,,,,,,0.0,19.0,56.0
15,4,,,,,,,0.0,20.0,59.0
15,5,,,,,,,0.0,21.0,62.0
15,6,,,,,,,0.0,22.0,65.0
15,7,,,,,,,0.0,23.0,68.0
15,8,,,,,,,0.0,24.0,71.0
15,9,,,,,,,0.0,25.0,74.0
15,10,,,,,,,0.0,26.0,77.0
15,11,,,,,,,0.0,27.0,80.0
15,12,,,,,,,0.0,28.0,83.0
15,13,,,,,,,0.0,29.0,86.0
15,14,,,,,,,0.0,30.0,89.0
15,15,,,,,,,,31.0,92.0
15,16,,,,,,,,,95.0
16,0,,,,,,,,0.0,17.0
16,1,,,,,,,,0.0,18.0
16,2,,,,,,,,0.0,19.0
16,3,,,,,,,,0.0,20.0
16,4,,,,,,,,0.0,21.0
16,5,,,,,,,,0.0,22.0
16,6,,,,,,,,0.0,23.0
16,7,,,,,,,,0.0,24.0
16,8,,,,,,,,0.0,25.0
16,9,,,,,,,,0.0,26.0
16,10,,,,,,,,0.0,27.0
16,11,,,,,,,,0.0,28.0
16,12,,,,,,,,0.0,29.0
16,13,,,,,,,,0.0,30.0
16,14,,,,,,,,0.0,31.0
16,15,,,,,,,,0.0,32.0
16,16,,,,,,,,,33.0
17,0,,,,,,,,,0.0
17,1,,,,,,,,,0.0
17,2,,,,,,,,,0.0
17,3,,,,,,,,,0.0
17,4,,,,,,,,,0.0
17,5,,,,,,,,,0.0
17,6,,,,,,,,,0.0
17,7,,,,,,,,,0.0
17,8,,,,,,,,,0.0
17,9,,,,,,,,,0.0
17,10,,,,,,,,,0.0
17,11,,,,,,,,,0.0
17,12,,,,,,,,,0.0
17,13,,,,,,,,,0.0
17,14,,,,,,,,,0.0
17,15,,,,,,,,,0.0
17,16,,,,,,,,,0.0
